,chord
0,A#:7
1,"A#:7(*5,b13)"
2,A#:dim
3,A#:hdim7
4,A#:maj
5,A#:maj9(*3)
6,A#:min
7,A#:min7
8,A#:sus4
9,"A:(1,5)"
10,A:7
11,A:7(#11)
12,A:7(*3)
13,"A:7(*3,4)"
14,"A:7(*3,4,13)"
15,"A:7(11,13)"
16,A:7(13)
17,"A:7(2,*3,13)"
18,A:7(b13)
19,A:7(b9)
20,"A:9(*3,4)"
21,A:aug
22,A:dim
23,A:hdim7
24,A:maj
25,A:maj(11)
26,A:maj(2)
27,A:maj(6)
28,A:maj(9)
29,A:maj6
30,A:maj7
31,A:maj9
32,A:maj9(13)
33,A:min
34,A:min(9)
35,A:min6
36,A:min7
37,A:min7(9)
38,A:min9
39,A:min9(11)
40,A:sus2
41,A:sus4
42,Ab:7
43,"Ab:7(*3,4)"
44,"Ab:7(*3,4,b9)"
45,Ab:9(13)
46,Ab:dim7
47,Ab:maj
48,Ab:maj(11)
49,Ab:maj(6)
50,Ab:maj(9)
51,Ab:maj6
52,Ab:maj7
53,Ab:maj7(9)
54,Ab:maj9
55,Ab:min
56,Ab:min6
57,Ab:min7
58,Ab:minmaj7(13)
59,Ab:sus2
60,Ab:sus4
61,B:(1)
62,"B:(1,4,b7,9)"
63,"B:(1,5)"
64,B:7
65,B:7(#11)
66,"B:7(*3,4)"
67,"B:7(*5,b13)"
68,B:7(11)
69,B:7(13)
70,"B:7(2,*3)"
71,B:7(b13)
72,B:7(b9)
73,B:9(11)
74,B:dim7
75,B:hdim7
76,B:maj
77,B:maj(11)
78,"B:maj(11,13)"
79,B:maj(13)
80,B:maj(6)
81,B:maj6
82,B:maj7
83,B:maj9(*3)
84,B:min
85,B:min(11)
86,B:min(6)
87,B:min(9)
88,B:min11
89,B:min7
90,B:min7(11)
91,B:min7(13)
92,B:min7(9)
93,B:min9
94,B:sus2
95,B:sus4
96,B:sus4(9)
97,"Bb:(1,2)"
98,"Bb:(1,2,4,b7)"
99,"Bb:(1,3)"
100,"Bb:(1,5)"
101,Bb:7
102,Bb:7(#11)
103,"Bb:7(*3,4)"
104,Bb:7(11)
105,Bb:7(13)
106,Bb:7(9)
107,Bb:7(b13)
108,Bb:7(b9)
109,Bb:9(b13)
110,Bb:maj
111,Bb:maj(*5)
112,Bb:maj(11)
113,Bb:maj(13)
114,Bb:maj(9)
115,Bb:maj7
116,Bb:maj9
117,Bb:min
118,Bb:min(9)
119,Bb:min6
120,Bb:min7
121,Bb:min7(11)
122,Bb:min9
123,Bb:sus2
124,Bb:sus4
125,"C#:(1,5)"
126,C#:7
127,C#:7(#9)
128,"C#:7(*3,4)"
129,C#:7(11)
130,C#:hdim7
131,C#:maj
132,C#:min
133,C#:min(11)
134,C#:min(6)
135,C#:min(b13)
136,C#:min11
137,C#:min6
138,C#:min7
139,C#:min7(11)
140,C#:min7(9)
141,C#:min9
142,C#:min9(11)
143,C#:sus4
144,C:(1)
145,"C:(1,#11)"
146,"C:(1,3,b5,b7,9)"
147,"C:(1,5)"
148,"C:(1,5,#11)"
149,C:7
150,"C:7(#9,b13)"
151,"C:7(2,*3)"
152,"C:7(2,*3,*5,#11)"
153,C:9
154,"C:9(*3,4)"
155,"C:9(*3,4,13)"
156,C:dim
157,C:dim7
158,C:hdim7
159,C:maj
160,C:maj(*3)
161,C:maj(*5)
162,C:maj(9)
163,C:maj6
164,C:maj7
165,C:maj7(9)
166,C:maj9
167,C:maj9(#11)
168,C:min
169,C:min7
170,C:min7(11)
171,C:min7(b5)
172,C:min9
173,C:sus4
174,Cb:maj
175,Cb:maj(9)
176,Cb:maj7
177,D#:7
178,"D#:7(#9,b13)"
179,D#:dim
180,D#:dim7
181,D#:hdim7
182,D#:maj
183,D#:min
184,"D#:min(1,b3,b5,b7)"
185,D#:min7
186,"D:(1,4,5)"
187,"D:(1,5)"
188,D:7
189,"D:7(*3,4)"
190,D:7(11)
191,D:7(13)
192,"D:7(2,*3,13)"
193,D:7(b13)
194,D:7(b9)
195,D:9
196,"D:9(*3,4)"
197,D:9(13)
198,D:dim
199,D:dim7
200,D:hdim7
201,D:maj
202,D:maj(*3)
203,D:maj(11)
204,D:maj(2)
205,D:maj(9)
206,D:maj13
207,D:maj6
208,D:maj6(9)
209,"D:maj6(9,11)"
210,D:maj7
211,D:maj9
212,D:min
213,D:min(*5)
214,D:min(11)
215,D:min(6)
216,D:min(9)
217,D:min11
218,D:min6
219,D:min7
220,D:min9
221,D:sus2
222,D:sus4
223,"Db:(1,3,b5)"
224,Db:7
225,Db:9
226,Db:maj
227,Db:maj(2)
228,"Db:maj(6,9)"
229,Db:maj(9)
230,Db:maj6
231,Db:maj7
